sr_no,category,document_date,supplier,inv_ref_no,make,model,colour,reg_no,buying_price,non_vat,std_net,vat_amount
107,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
108,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
109,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
110,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
111,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
112,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
113,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
114,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
115,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
116,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
117,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
118,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
119,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
120,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
121,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
122,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
123,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
124,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
125,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
126,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
127,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
